title,variety,winery,region_1,province,country
Lallier NV R.012 Brut  (Champagne),Champagne Blend,Lallier,Champagne,Champagne,France
Le Marchesine 2007 Secolo Novo Giovanni Biatta Metodo Classico Chardonnay (Franciacorta),Chardonnay,Le Marchesine,Franciacorta,Lombardy,Italy
Domaine Zinck NV Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Domaine Zinck,Crémant d'Alsace,Alsace,France
Dr. Heidemanns-Bergweiler 2015 Dry Mineral Riesling (Mosel),Riesling,Dr. Heidemanns-Bergweiler,,Mosel,Germany
Dubl NV Rosé Brut Metodo Classico Aglianico (Vino Spumante),Aglianico,Dubl,Vino Spumante,Italy Other,Italy
Ferrer Bobet 2012 Vieilles Velles Red (Priorat),Red Blend,Ferrer Bobet,Priorat,Catalonia,Spain
Granbazán 2015 Etiqueta Ámbar Albariño (Rías Baixas),Albariño,Granbazán,Rías Baixas,Galicia,Spain
Vallana 2007  Boca,Red Blend,Vallana,Boca,Piedmont,Italy
Krupp Brothers 2009 Stagecoach Vineyard Synchrony Red (Napa Valley),Bordeaux-style Red Blend,Krupp Brothers,Napa Valley,California,US
Pamplin 2009 Proprietary Red Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Pamplin,Columbia Valley (WA),Washington,US
Pepper Bridge 2009 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Pepper Bridge,Walla Walla Valley (WA),Washington,US
Forgeron 2009 Merlot (Columbia Valley (WA)),Merlot,Forgeron,Columbia Valley (WA),Washington,US
Sterling 2009 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sterling,Napa Valley,California,US
Domaine Cazes 1996 Ambré Grenache Blanc (Rivesaltes),Grenache Blanc,Domaine Cazes,Rivesaltes,Languedoc-Roussillon,France
Capannelle 2007 Riserva  (Chianti Classico),Sangiovese,Capannelle,Chianti Classico,Tuscany,Italy
Pictor 2008  Toro,Tinta de Toro,Pictor,Toro,Northern Spain,Spain
Amavi 2010 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Syrah,Amavi,Walla Walla Valley (WA),Washington,US
André Blanck et ses Fils 2010 Schlossberg Grand Cru Gewurztraminer (Alsace),Gewürztraminer,André Blanck et ses Fils,Alsace,Alsace,France
Castello di Querceto 2008 Il Querciolaia Red (Colli della Toscana Centrale),Red Blend,Castello di Querceto,Colli della Toscana Centrale,Tuscany,Italy
Charles Ellner 2002 Millésime Brut  (Champagne),Champagne Blend,Charles Ellner,Champagne,Champagne,France
Scheiblhofer 2010 Andau Zweigelt (Burgenland),Zweigelt,Scheiblhofer,,Burgenland,Austria
Spring Valley Vineyard 2009 Uriah Estate Grown Red Wine Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Spring Valley Vineyard,Walla Walla Valley (WA),Washington,US
Jean-Marc Bernhard 2010 Furstentum Grand Cru Pinot Gris (Alsace),Pinot Gris,Jean-Marc Bernhard,Alsace,Alsace,France
MacPhail 2010 Gap's Crown Pinot Noir (Sonoma Coast),Pinot Noir,MacPhail,Sonoma Coast,California,US
Matarromera 2006 Reserva  (Ribera del Duero),Tempranillo,Matarromera,Ribera del Duero,Northern Spain,Spain
Nefarious 2010 Rx-3 Red Wine Red (Columbia Valley (WA)),Rhône-style Red Blend,Nefarious,Columbia Valley (WA),Washington,US
DeLille 2011 Chaleur Estate Blanc Sauvignon Blanc-Semillon (Columbia Valley (WA)),Sauvignon Blanc-Semillon,DeLille,Columbia Valley (WA),Washington,US
Doyenne 2009 Aix Red (Red Mountain),Red Blend,Doyenne,Red Mountain,Washington,US
Dürnberg 2011 Rabenstein Grüner Veltliner (Weinviertel),Grüner Veltliner,Dürnberg,,Weinviertel,Austria
Forgeron 2009 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Forgeron,Columbia Valley (WA),Washington,US
Alidis 2009 VS  (Ribera del Duero),Tempranillo,Alidis,Ribera del Duero,Northern Spain,Spain
Turley 2010 Library Vineyard Petite Sirah (Napa Valley),Petite Sirah,Turley,Napa Valley,California,US
Turley 2010 Pesenti Vineyard Petite Sirah (Paso Robles),Petite Sirah,Turley,Paso Robles,California,US
Whitehall Lane 2009 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Whitehall Lane,Napa Valley,California,US
Coteaux da Murta 2013 Quinta da Murta Arinto (Bucelas),Arinto,Coteaux da Murta,,Bucelas,Portugal
Fillaboa 2015 Estate Grown/Viñedo Propio Albariño (Rías Baixas),Albariño,Fillaboa,Rías Baixas,Galicia,Spain
Franciscan 2013 Merlot (Napa Valley),Merlot,Franciscan,Napa Valley,California,US
Jasci & Marchesani 2013 Rudhir  (Montepulciano d'Abruzzo),Montepulciano,Jasci & Marchesani,Montepulciano d'Abruzzo,Central Italy,Italy
Kestrel 2012 Falcon Series Estate Syrah (Yakima Valley),Syrah,Kestrel,Yakima Valley,Washington,US
Kestrel 2012 Falcon Series Merlot (Yakima Valley),Merlot,Kestrel,Yakima Valley,Washington,US
La Valentina 2012 Spelt Riserva  (Montepulciano d'Abruzzo),Montepulciano,La Valentina,Montepulciano d'Abruzzo,Central Italy,Italy
Lavradores de Feitoria 2014 Très Bagos Reserva Red (Douro),Portuguese Red,Lavradores de Feitoria,,Douro,Portugal
Manzwine 2014 Penedo do Lexim Red (Lisboa),Portuguese Red,Manzwine,,Lisboa,Portugal
Mas Pere NV Rosado Sparkling (Cava),Sparkling Blend,Mas Pere,Cava,Catalonia,Spain
Milbrandt 2015 Traditions Evergreen Vineyard Riesling (Ancient Lakes),Riesling,Milbrandt,Ancient Lakes,Washington,US
Monte Volpe 2013 Sangiovese (Mendocino County),Sangiovese,Monte Volpe,Mendocino County,California,US
Nine Hats 2015 Riesling (Columbia Valley (WA)),Riesling,Nine Hats,Columbia Valley (WA),Washington,US
Pascal Aufranc 2015 En Rémont Vignes de 1939  (Chénas),Gamay,Pascal Aufranc,Chénas,Beaujolais,France
Ricominciare 2010 Altísimo Malbec (Mendoza),Malbec,Ricominciare,Mendoza,Mendoza Province,Argentina
Robert Perroud 2015 L'Enfer des Balloquets  (Brouilly),Gamay,Robert Perroud,Brouilly,Beaujolais,France
Rôtie Cellars 2015 Grenache Blanc (Washington),Grenache Blanc,Rôtie Cellars,Washington,Washington,US
San Simeon 2015 Stefano Vineyard Viognier (Paso Robles),Viognier,San Simeon,Paso Robles,California,US
Sanguinhal 2010 Aragonez (Lisboa),Aragonez,Sanguinhal,,Lisboa,Portugal
Nino Negri 2013 Quadrio  (Valtellina Superiore),Red Blend,Nino Negri,Valtellina Superiore,Lombardy,Italy
Pflüger 2014 Dürkheimer Trocken Pinot Noir (Pfalz),Pinot Noir,Pflüger,,Pfalz,Germany
Picket Fence 2014 Top Rail Red (Sonoma County),Red Blend,Picket Fence,Sonoma County,California,US
South Stage 2012 Grenache (Rogue Valley),Grenache,South Stage,Rogue Valley,Oregon,US
Taken Wine Co. 2014 Taken Red (Napa Valley),Bordeaux-style Red Blend,Taken Wine Co.,Napa Valley,California,US
Terra d'Oro 2014 Barbera (Amador County),Barbera,Terra d'Oro,Amador County,California,US
Trapiche 2014 Broquel Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Trapiche,Mendoza,Mendoza Province,Argentina
Viña Cobos 2015 Felino Malbec (Mendoza),Malbec,Viña Cobos,Mendoza,Mendoza Province,Argentina
Yohan Lardy 2015 Les Michelons  (Moulin-à-Vent),Gamay,Yohan Lardy,Moulin-à-Vent,Beaujolais,France
Analemma 2014 Atavus Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Analemma,Columbia Gorge (WA),Washington,US
Argyle 2014 Nuthouse Pinot Noir (Eola-Amity Hills),Pinot Noir,Argyle,Eola-Amity Hills,Oregon,US
Flora Springs 2008 Hillside Reserve Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Flora Springs,Rutherford,California,US
Hirsch 2007 San Andreas Pinot Noir (Sonoma Coast),Pinot Noir,Hirsch,Sonoma Coast,California,US
Joseph Drouhin 2008  Charmes-Chambertin,Pinot Noir,Joseph Drouhin,Charmes-Chambertin,Burgundy,France
DeLille 2009 Chaleur Estate Blanc White (Columbia Valley (WA)),Bordeaux-style White Blend,DeLille,Columbia Valley (WA),Washington,US
Benanti 2006 Serra della Contessa Red (Sicilia),Red Blend,Benanti,Sicilia,Sicily & Sardinia,Italy
Maison Bleue 2009 Soleil Roussanne (Yakima Valley),Roussanne,Maison Bleue,Yakima Valley,Washington,US
Pax 2007 Kobler Family Vineyard Syrah (Green Valley),Syrah,Pax,Green Valley,California,US
Chanson Père et Fils 2008  Charmes-Chambertin,Pinot Noir,Chanson Père et Fils,Charmes-Chambertin,Burgundy,France
Chanson Père et Fils 2008  Clos de Vougeot,Pinot Noir,Chanson Père et Fils,Clos de Vougeot,Burgundy,France
Domaine de la Terre Rouge 2008 Ascent Syrah (Sierra Foothills),Syrah,Domaine de la Terre Rouge,Sierra Foothills,California,US
Domaine Leflaive 2008 Clavoillon Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive,Puligny-Montrachet,Burgundy,France
Joseph Drouhin 2008 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Joseph Drouhin,Beaune,Burgundy,France
Tyler 2008 Clos Pepe Pinot Noir (Sta. Rita Hills),Pinot Noir,Tyler,Sta. Rita Hills,California,US
Trefethen 2007 Dragon's Tooth Red Wine Red (Napa Valley),Bordeaux-style Red Blend,Trefethen,Napa Valley,California,US
Trefethen 2008 Dragon's Tooth Red Wine Red (Napa Valley),Bordeaux-style Red Blend,Trefethen,Napa Valley,California,US
Alexandria Nicole 2008 Destiny Ridge Vineyard Destiny Red Red (Horse Heaven Hills),Bordeaux-style Red Blend,Alexandria Nicole,Horse Heaven Hills,Washington,US
Lineage 2007 Red (Livermore Valley),Bordeaux-style Red Blend,Lineage,Livermore Valley,California,US
Buty 2009 Merlot-Cabernet Franc (Columbia Valley (WA)),Merlot-Cabernet Franc,Buty,Columbia Valley (WA),Washington,US
McCrea 2006 Boushey Grande Côte Vineyard Syrah (Yakima Valley),Syrah,McCrea,Yakima Valley,Washington,US
Torbreck 2007 Descendant Shiraz-Viognier (Barossa Valley),Shiraz-Viognier,Torbreck,Barossa Valley,South Australia,Australia
Beringer 2008 Alluvium Blanc Sauvignon Blanc-Semillon (Knights Valley),Sauvignon Blanc-Semillon,Beringer,Knights Valley,California,US
Corte Sant' Alda 2007 Campi Magri  (Valpolicella Superiore),"Corvina, Rondinella, Molinara",Corte Sant' Alda,Valpolicella Superiore,Veneto,Italy
Corteforte 2007 Podere Bertarole  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Corteforte,Valpolicella Classico Superiore Ripasso,Veneto,Italy
Fabiano 2008  Valpolicella Classico Superiore Ripasso,"Corvina, Rondinella, Molinara",Fabiano,Valpolicella Classico Superiore Ripasso,Veneto,Italy
Gamba 2007 Le Quare  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Gamba,Valpolicella Classico Superiore Ripasso,Veneto,Italy
Hogue 2009 Pinot Grigio (Columbia Valley (WA)),Pinot Grigio,Hogue,Columbia Valley (WA),Washington,US
Bell 2007 Claret Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Bell,Napa Valley,California,US
Brigaldara 2007 Il Vegro  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Brigaldara,Valpolicella Classico Superiore Ripasso,Veneto,Italy
Cadence 2008 Coda Red (Red Mountain),Bordeaux-style Red Blend,Cadence,Red Mountain,Washington,US
Latium di Morini 2005 Campo Leòn  (Amarone della Valpolicella),"Corvina, Rondinella, Molinara",Latium di Morini,Amarone della Valpolicella,Veneto,Italy
Luigi Righetti 2006 Capitel de' Roari  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Luigi Righetti,Amarone della Valpolicella Classico,Veneto,Italy
Marquee 2008 Signature Chardonnay (Yarra Valley),Chardonnay,Marquee,Yarra Valley,Victoria,Australia
Miguel Torres 2007 Manso de Velasco Viejas Viñas Old Vines Cabernet Sauvignon (Central Valley),Cabernet Sauvignon,Miguel Torres,,Central Valley,Chile
Mittnacht Frères 2009 Terre d'Etoiles Pinot Blanc (Alsace),Pinot Blanc,Mittnacht Frères,Alsace,Alsace,France
Monte del Frá 2005 Tenuta Lena di Mezzo  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Monte del Frá,Amarone della Valpolicella Classico,Veneto,Italy
Montresor 2006 Giacomo Montresor  (Amarone della Valpolicella),Red Blend,Montresor,Amarone della Valpolicella,Veneto,Italy
Musella 2005 Riserva  (Amarone della Valpolicella),"Corvina, Rondinella, Molinara",Musella,Amarone della Valpolicella,Veneto,Italy
Paso a Paso 2009 Verdejo (La Mancha),Verdejo,Paso a Paso,La Mancha,Central Spain,Spain
Penfolds 2007 Bin 128 Shiraz (Coonawarra),Shiraz,Penfolds,Coonawarra,South Australia,Australia
Qupé 2008 Purisima Mountain Vineyard Syrah (Santa Ynez Valley),Syrah,Qupé,Santa Ynez Valley,California,US
Ridge 2007 California Monte Bello Red (Santa Cruz Mountains),Bordeaux-style Red Blend,Ridge,Santa Cruz Mountains,California,US
Santa Ema 2007 Catalina Red (Peumo),Red Blend,Santa Ema,,Peumo,Chile
Cono Sur 2008 20 Barrels Pinot Noir (Casablanca Valley),Pinot Noir,Cono Sur,,Casablanca Valley,Chile
Cono Sur 2009 Visión Viognier (Colchagua Valley),Viognier,Cono Sur,,Colchagua Valley,Chile
Corte San Benedetto 2003  Amarone della Valpolicella Classico,"Corvina, Rondinella, Molinara",Corte San Benedetto,Amarone della Valpolicella Classico,Veneto,Italy
Domìni Veneti 2006 Verjago  (Valpolicella Classico Superiore),"Corvina, Rondinella, Molinara",Domìni Veneti,Valpolicella Classico Superiore,Veneto,Italy
Dopff & Irion NV Cuvée Prestige Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Dopff & Irion,Crémant d'Alsace,Alsace,France
Falezza 2005  Amarone della Valpolicella,"Corvina, Rondinella, Molinara",Falezza,Amarone della Valpolicella,Veneto,Italy
Rieflé 2006 Pinot Gris Bonheur Convivial Pinot Gris (Alsace),Pinot Gris,Rieflé,Alsace,Alsace,France
Casa Silva 2005 Microterroir de los Lingues Carmenère (Colchagua Valley),Carmenère,Casa Silva,,Colchagua Valley,Chile
Château Lamothe-Vincent 2011 Le Grand Rossignol du Château Lamothe Vincent  (Bordeaux Supérieur),Bordeaux-style Red Blend,Château Lamothe-Vincent,Bordeaux Supérieur,Bordeaux,France
Château Pey la Tour 2011  Bordeaux,Bordeaux-style Red Blend,Château Pey la Tour,Bordeaux,Bordeaux,France
Clayhouse 2011 Red Cedar Vineyard Estate Syrah-Petite Sirah (Paso Robles),Syrah-Petite Sirah,Clayhouse,Paso Robles,California,US
Dilecta 2011 The Tiller Caliza Vineyard Russell Family Vineyards Grenache-Syrah (Paso Robles),Grenache-Syrah,Dilecta,Paso Robles,California,US
Grayson 2012 Lot 10 Cabernet Sauvignon (California),Cabernet Sauvignon,Grayson,California,California,US
Vinemark 2011 Pinot Noir (Napa Valley),Pinot Noir,Vinemark,Napa Valley,California,US
Wetzel Estate 2010 Estate Reserve Pinot Noir (Willamette Valley),Pinot Noir,Wetzel Estate,Willamette Valley,Oregon,US
Magnolia Court 2012 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Magnolia Court,Central Coast,California,US
Picket Fence 2012 Pinot Noir (Russian River Valley),Pinot Noir,Picket Fence,Russian River Valley,California,US
Recuerdo 2011 Malbec (Uco Valley),Malbec,Recuerdo,Uco Valley,Mendoza Province,Argentina
Adanti 2009  Montefalco Rosso,Red Blend,Adanti,Montefalco Rosso,Central Italy,Italy
Château Haut Nadeau 2011 Réserve du Propriétaire  (Bordeaux Supérieur),Bordeaux-style Red Blend,Château Haut Nadeau,Bordeaux Supérieur,Bordeaux,France
un4seen 2011 Chardonnay (Lodi),Chardonnay,un4seen,Lodi,California,US
Vinemark 2010 Touriga Nacional (Paso Robles),Touriga Nacional,Vinemark,Paso Robles,California,US
Wetzel Estate 2011 Estate Pinot Blanc (Willamette Valley),Pinot Blanc,Wetzel Estate,Willamette Valley,Oregon,US
Del Rio 2010 Claret (Rogue Valley),Claret,Del Rio,Rogue Valley,Oregon,US
Grayson 2012 Pinot Noir (California),Pinot Noir,Grayson,California,California,US
Guenoc 2012 Chardonnay (California),Chardonnay,Guenoc,California,California,US
Vinemark 2009 Primitivo (Paso Robles),Primitivo,Vinemark,Paso Robles,California,US
Woodbridge by Robert Mondavi 2012 Zinfandel (California),Zinfandel,Woodbridge by Robert Mondavi,California,California,US
Barton & Guestier NV Partager Red,Red Blend,Barton & Guestier,,,
Bodegas Tobía 2012 Viña Tobía White (Rioja),White Blend,Bodegas Tobía,Rioja,Northern Spain,Spain
Univitis 2012 Grand Théatre  (Bordeaux Blanc),Bordeaux-style White Blend,Univitis,Bordeaux Blanc,Bordeaux,France
Château Gréteau Médeville 2011  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Gréteau Médeville,Bordeaux Supérieur,Bordeaux,France
Wildberry Estate 2005 Shiraz (Margaret River),Shiraz,Wildberry Estate,Margaret River,Western Australia,Australia
Salentein 2005 Reserve Malbec (Uco Valley),Malbec,Salentein,Uco Valley,Mendoza Province,Argentina
Sattlerhof 2006 Steirische Klassik Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Sattlerhof,,Südsteiermark,Austria
Steininger 2006 Brut Grüner Veltliner (Kamptal),Grüner Veltliner,Steininger,,Kamptal,Austria
Summerer 2007 Steinhaus Grüner Veltliner (Kamptal),Grüner Veltliner,Summerer,,Kamptal,Austria
Robert Stemmler 2005 Ferguson Block Pinot Noir (Carneros),Pinot Noir,Robert Stemmler,Carneros,California,US
Tamarack Cellars 2005 Syrah (Columbia Valley (WA)),Syrah,Tamarack Cellars,Columbia Valley (WA),Washington,US
Murrieta's Well 2004 Meritage (Livermore Valley),Meritage,Murrieta's Well,Livermore Valley,California,US
Coeur d'Alene 2005 Switchback Red Red (Washington),Red Blend,Coeur d'Alene,Washington,Washington,US
Bouchard Aîné & Fils 2005 Les Marconnets Premier Cru  (Beaune),Pinot Noir,Bouchard Aîné & Fils,Beaune,Burgundy,France
Whitman Cellars 2005 Syrah (Walla Walla Valley (WA)),Syrah,Whitman Cellars,Walla Walla Valley (WA),Washington,US
Zull 2006 Aussere Bergen Grüner Veltliner (Niederösterreich),Grüner Veltliner,Zull,,Niederösterreich,Austria
Helix by Reininger 2005 Merlot (Columbia Valley (WA)),Merlot,Helix by Reininger,Columbia Valley (WA),Washington,US
Tomero 2007 Torrontés (Salta),Torrontés,Tomero,Salta,Other,Argentina
Trivento 2005 Golden Reserve Malbec (Mendoza),Malbec,Trivento,Mendoza,Mendoza Province,Argentina
Breggo 2006 Ferrington Vineyard Sauvignon Blanc (Anderson Valley),Sauvignon Blanc,Breggo,Anderson Valley,California,US
Bründlmayer 2004 Pinot Noir Cécile Pinot Noir (Kamptal),Pinot Noir,Bründlmayer,,Kamptal,Austria
Schug 2004 Heritage Reserve Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Schug,Sonoma Valley,California,US
Tagaris 2006 Alice Vineyard Malbec (Wahluke Slope),Malbec,Tagaris,Wahluke Slope,Washington,US
Torres 2005 Celeste Crianza  (Ribera del Duero),Tempranillo,Torres,Ribera del Duero,Northern Spain,Spain
Beaulieu Vineyard 2010 Coastal Estates Chardonnay (California),Chardonnay,Beaulieu Vineyard,California,California,US
Stoneburn 2009 Pinot Noir (Marlborough),Pinot Noir,Stoneburn,,Marlborough,New Zealand
Trivento 2010 Reserve Malbec (Mendoza),Malbec,Trivento,Mendoza,Mendoza Province,Argentina
Verum 2010 Malbec (Alto Valle del Río Negro),Malbec,Verum,Alto Valle del Río Negro,Other,Argentina
Viña Alicia 2008 Morena Red (Luján de Cuyo),Cabernet Blend,Viña Alicia,Luján de Cuyo,Mendoza Province,Argentina
Bott Frères 2010 Cuvée Particulière Muscat (Alsace),Muscat,Bott Frères,Alsace,Alsace,France
Ca' dei Zago 2010 Col Fondo  (Prosecco),Glera,Ca' dei Zago,Prosecco,Veneto,Italy
Carpenè Malvolti NV Cuvée Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Carpenè Malvolti,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Dopff & Irion 2010 Tradition Pinot Gris (Alsace),Pinot Gris,Dopff & Irion,Alsace,Alsace,France
Galaxy 2008 Syrah-Merlot-Cabernet Sauvignon Red (Sonoma-Napa),Red Blend,Galaxy,Sonoma-Napa,California,US
Gardel 2010 Vendimia Especial Malbec (Mendoza),Malbec,Gardel,Mendoza,Mendoza Province,Argentina
Giavi 2011 Prima Volta Millesimato Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Giavi,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Anna Spinato NV Mini  (Prosecco),Glera,Anna Spinato,Prosecco,Veneto,Italy
Bellenda 2011 Miraval Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bellenda,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Bianca Vigna 2011 Millesimato Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Bianca Vigna,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Canella NV  Conegliano Valdobbiadene Prosecco Superiore,Glera,Canella,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Caposaldo NV Brut  (Prosecco),Glera,Caposaldo,Prosecco,Veneto,Italy
Carpenè Malvolti NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Carpenè Malvolti,Conegliano Valdobbiadene Prosecco Superiore,Veneto,Italy
Coelho 2010 Atração Pinot Noir (Willamette Valley),Pinot Noir,Coelho,Willamette Valley,Oregon,US
Coho 2009 Headwaters Red (Napa Valley),Bordeaux-style Red Blend,Coho,Napa Valley,California,US
Cupcake 2010 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Cupcake,Central Coast,California,US
Domaine Ostertag 2010 Vignoble d'Epfig Riesling (Alsace),Riesling,Domaine Ostertag,Alsace,Alsace,France
Domaine Rieflé 2008 Steinert Grand Cru Riesling (Alsace),Riesling,Domaine Rieflé,Alsace,Alsace,France
Donati 2008 Ezio Red (Paicines),Bordeaux-style Red Blend,Donati,Paicines,California,US
Andeluna 2010 Malbec (Mendoza),Malbec,Andeluna,Mendoza,Mendoza Province,Argentina
Georges Duboeuf 2015 Château de Juliénas  (Juliénas),Gamay,Georges Duboeuf,Juliénas,Beaujolais,France
Georges Duboeuf 2015 Château des Capitans  (Juliénas),Gamay,Georges Duboeuf,Juliénas,Beaujolais,France
Georges Duboeuf 2015 Domaine de Javernière Côte du Py  (Morgon),Gamay,Georges Duboeuf,Morgon,Beaujolais,France
Georges Duboeuf 2015 Domaine des Quatres Vents  (Fleurie),Gamay,Georges Duboeuf,Fleurie,Beaujolais,France
Hess Collection 2013 19 Block Mountain Cuvée Red (Mount Veeder),Red Blend,Hess Collection,Mount Veeder,California,US
Il Borro 2013 Red (Toscana),Red Blend,Il Borro,Toscana,Tuscany,Italy
Iron Horse 2011 Russian Cuvée Sparkling (Green Valley),Sparkling Blend,Iron Horse,Green Valley,California,US
Lackner Tinnacher 2015 Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Lackner Tinnacher,,Südsteiermark,Austria
Lauren Ashton Cellars 2013 Proprietor's Cuvée Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Lauren Ashton Cellars,Columbia Valley (WA),Washington,US
Now Presenting... 2014 Red (Paso Robles),Rhône-style Red Blend,Now Presenting...,Paso Robles,California,US
On Point 2014 Christina's Cuvée Pinot Noir (North Coast),Pinot Noir,On Point,North Coast,California,US
Pardon et Fils 2015 Les Mouilles  (Juliénas),Gamay,Pardon et Fils,Juliénas,Beaujolais,France
Paumanok 2014 Cabernet Franc (North Fork of Long Island),Cabernet Franc,Paumanok,North Fork of Long Island,New York,US
Jean-Luc Colombo 2013 Amour de Dieu  (Condrieu),Viognier,Jean-Luc Colombo,Condrieu,Rhône Valley,France
Acacia 2013 Thornton Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Acacia,Sonoma Coast,California,US
Alain Jaume et Fils 2014 Haut de Brun Red (Côtes du Rhône),Rhône-style Red Blend,Alain Jaume et Fils,Côtes du Rhône,Rhône Valley,France
San Carlo 2011  Brunello di Montalcino,Sangiovese,San Carlo,Brunello di Montalcino,Tuscany,Italy
Sean Minor 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sean Minor,Napa Valley,California,US
Steininger 2015 Grand Grü Reserve Grüner Veltliner (Kamptal),Grüner Veltliner,Steininger,,Kamptal,Austria
Stift Klosterneuburg 2014 Ausstich St. Laurent (Thermenregion),St. Laurent,Stift Klosterneuburg,,Thermenregion,Austria
Terroirs et Talents 2015 Clos de la Brosse  (Saint-Amour),Gamay,Terroirs et Talents,Saint-Amour,Beaujolais,France
Tua Rita 2013 Redigaffi Merlot (Toscana),Merlot,Tua Rita,Toscana,Tuscany,Italy
Unger 2015 Oberfeld Alte Reben Reserve Grüner Veltliner (Kremstal),Grüner Veltliner,Unger,,Kremstal,Austria
Vino La Monarcha 2014 Sangiovese (Wahluke Slope),Sangiovese,Vino La Monarcha,Wahluke Slope,Washington,US
Vino La Monarcha 2015 Riesling (Ancient Lakes),Riesling,Vino La Monarcha,Ancient Lakes,Washington,US
Whiplash 2015 Red (California),Red Blend,Whiplash,California,California,US
Bell 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Bell,Napa Valley,California,US
Cerbaia 2011  Brunello di Montalcino,Sangiovese,Cerbaia,Brunello di Montalcino,Tuscany,Italy
Gibbs 2014 Bacigalupi Vineyard Chardonnay (Russian River Valley),Chardonnay,Gibbs,Russian River Valley,California,US
Gloria Ferrer NV Sonoma Brut Sparkling (Sonoma County),Sparkling Blend,Gloria Ferrer,Sonoma County,California,US
Bodegas Valdemar 2005 Inspiración  (Rioja),Maturana,Bodegas Valdemar,Rioja,Northern Spain,Spain
Bula 2010 Red (Montsant),Red Blend,Bula,Montsant,Catalonia,Spain
Bunchgrass 2009 Syrah (Walla Walla Valley (WA)),Syrah,Bunchgrass,Walla Walla Valley (WA),Washington,US
Can Blau 2010 Blau Red (Montsant),Red Blend,Can Blau,Montsant,Catalonia,Spain
Cantina Produttori San Michele Appiano 2011 Sanct Valentin Gewürztraminer (Alto Adige),Gewürztraminer,Cantina Produttori San Michele Appiano,Alto Adige,Northeastern Italy,Italy
"Carol Shelton 2009 Monga Zin, Lopez Vineyard Zinfandel (Cucamonga Valley)",Zinfandel,Carol Shelton,Cucamonga Valley,California,US
Casa Rojo 2009 Fauno Organic Grapes Garnacha (Priorat),Garnacha,Casa Rojo,Priorat,Catalonia,Spain
Castello di Montegiove 2008 Elicius Red (Umbria),Red Blend,Castello di Montegiove,Umbria,Central Italy,Italy
Château de la Croix 2009  Médoc,Bordeaux-style Red Blend,Château de la Croix,Médoc,Bordeaux,France
Château d'Esclans 2012 Whispering Angel Rosé (Côtes de Provence),Rosé,Château d'Esclans,Côtes de Provence,Provence,France
Château Dupeyrat Plouget 2010 Cru de Plouget  (Côtes de Bourg),Bordeaux-style Red Blend,Château Dupeyrat Plouget,Côtes de Bourg,Bordeaux,France
Chelsea Goldschmidt 2011 Merlot (Dry Creek Valley),Merlot,Chelsea Goldschmidt,Dry Creek Valley,California,US
Peju 2009 Merlot (Napa Valley),Merlot,Peju,Napa Valley,California,US
